assembly,genomic_accession,product_accession,name,symbol,sp
GCF_000006745.1,NC_002505.1,WP_001030417.1,RNA polymerase sigma factor FliA,NA,Vibrio_cholerae_O1_biovar_El_Tor_str._N16961
GCF_000006765.1,NC_002516.2,NP_250146.1,flagellar biosynthesis sigma factor FliA,fliA,Pseudomonas_aeruginosa_PAO1
GCF_000005845.2,NC_000913.3,NP_416432.3,"RNA polymerase, sigma 28 (sigma F) factor",fliA,Escherichia_coli_str._K-12_substr._MG1655
GCF_000009085.1,NC_002163.1,YP_002343525.1,flagellar biosynthesis RNA polymerase sigma factor,fliA,Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
GCF_000008525.1,NC_000915.1,WP_000602430.1,RNA polymerase sigma factor FliA,NA,Helicobacter_pylori_26695
GCF_000008545.1,NC_000853.1,WP_004081373.1,sigma-70 family RNA polymerase sigma factor,NA,Thermotoga_maritima_MSB8
GCF_000008545.1,NC_000853.1,WP_004080667.1,FliA/WhiG family RNA polymerase sigma factor,NA,Thermotoga_maritima_MSB8
GCF_000604125.1,NZ_CP003679.1,WP_014342819.1,RNA polymerase sigma factor WhiG,whiG,Treponema_pallidum_subsp._pallidum_str._Sea_81-4
GCF_000195955.2,NC_000962.3,NP_217803.1,RNA polymerase sigma factor SigF,sigF,Mycobacterium_tuberculosis_H37Rv
GCF_000203835.1,NC_003888.3,NP_624912.1,RNA polymerase sigma factor sig8,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_627288.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_628216.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_628217.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_629389.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_629755.1,RNA polymerase sigma factor WhiG,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_630601.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_631334.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_631369.1,RNA polymerase sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_000203835.1,NC_003888.3,NP_631395.1,RNA polymerase secondary sigma factor,NA,Streptomyces_coelicolor_A3(2)
GCF_002055965.1,NZ_CP020102.1,WP_003225758.1,RNA polymerase sporulation sigma factor SigH,sigH,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003234958.1,RNA polymerase sigma factor SigW,sigW,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003246715.1,RNA polymerase sigma factor SigB,sigB,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003224177.1,RNA polymerase sigma factor SigM,sigM,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003245485.1,RNA polymerase sigma factor YlaC,ylaC,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003221446.1,RNA polymerase sporulation sigma factor SigE,sigE,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_009967190.1,RNA polymerase sporulation sigma factor SigG,sigG,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003220911.1,RNA polymerase sigma-28 factor SigD,sigD,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003230521.1,RNA polymerase sigma factor SigX,sigX,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003230458.1,RNA polymerase sporulation sigma factor SigF,sigF,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003226225.1,RNA polymerase sigma factor RpoD,rpoD,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_004398507.1,RNA polymerase sigma factor SigZ,sigZ,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_004398891.1,RNA polymerase sigma factor SigV,sigV,Bacillus_subtilis
GCF_002055965.1,NZ_CP020102.1,WP_003243678.1,RNA polymerase sigma factor SigY,sigY,Bacillus_subtilis
