header,taxon,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family
2201442.YP_009802953.1 RNA polymerase sigma factor [Microbacterium phage RobsFeet],2201442,YP_009802953.1,Microbacterium phage RobsFeet, RNA polymerase sigma factor,VOG16626,Microbacterium phage RobsFeet,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Metamorphoovirus; Microbacterium virus RobsFeet,NC_047989,NA,NA,NA,199592,Microbacterium paraoxydans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2201442.YP_009802953.1,Siphoviridae
2283289.YP_009807106.1 RNA polymerase sigma factor [Microbacterium phage KaiHaiDragon],2283289,YP_009807106.1,Microbacterium phage KaiHaiDragon, RNA polymerase sigma factor,VOG16626,Microbacterium phage KaiHaiDragon,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Quhwahvirus,NC_048020,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,"NCBI Virus, RefSeq",NA,NA,1,2283289.YP_009807106.1,Siphoviridae
2530118.YP_009820323.1 RNA polymerase sigma factor [Microbacterium phage Fireman],2530118,YP_009820323.1,Microbacterium phage Fireman, RNA polymerase sigma factor,VOG16626,Microbacterium phage Fireman,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Metamorphoovirus; Microbacterium virus Fireman,NC_048165,NA,NA,NA,199592,Microbacterium paraoxydans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2530118.YP_009820323.1,Siphoviridae
1406790.YP_008771927.1 ECF subfamily RNA polymerase sigma-24 factor [Bacillus phage Slash],1406790,YP_008771927.1,Bacillus phage Slash, ECF subfamily RNA polymerase sigma-24 factor,VOG12906,Bacillus phage Slash,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Slash,NC_022774,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1406790.YP_008771927.1,Siphoviridae
1406792.YP_008770739.1 RNA polymerase sigma factor [Bacillus phage Staley],1406792,YP_008770739.1,Bacillus phage Staley, RNA polymerase sigma factor,VOG12906,Bacillus phage Staley,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Staley,NC_022767,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,NA,RefSeq,NA,NA,1,1406792.YP_008770739.1,Siphoviridae
1610832.YP_009203629.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203629.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG12906,Bacillus phage Stahl,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stahl,NC_028856,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,26251491,"Literature, RefSeq",NA,NA,1,1610832.YP_009203629.1,Siphoviridae
1610833.YP_009196909.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196909.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG12906,Bacillus phage Stills,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stills,NC_028777,NA,NA,NA,1404,Bacillus megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,26251490,"Literature, RefSeq",NA,NA,1,1610833.YP_009196909.1,Siphoviridae
10685.YP_002300398.1 gp28 [Bacillus virus SPO1],10685,YP_002300398.1,Bacillus virus SPO1, gp28,VOG07471,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300398.1,Herelleviridae
1296655.YP_009215922.1 middle-gene-specific sigma factor [Bacillus phage JL],1296655,YP_009215922.1,Bacillus phage JL, middle-gene-specific sigma factor,VOG07471,Bacillus phage JL,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus JL,NC_028982,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,24459255,"Literature, RefSeq",NA,NA,1,1296655.YP_009215922.1,Herelleviridae
1296656.YP_009216142.1 hypothetical protein [Bacillus phage Shanette],1296656,YP_009216142.1,Bacillus phage Shanette, hypothetical protein,VOG07471,Bacillus phage Shanette,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus Shanette,NC_028983,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,24459255,"Literature, RefSeq",NA,NA,1,1296656.YP_009216142.1,Herelleviridae
1391188.YP_009099117.1 putative sigma factor [Bacillus phage CP-51],1391188,YP_009099117.1,Bacillus phage CP-51, putative sigma factor,VOG07471,Bacillus phage CP-51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Siminovitchvirus; Bacillus virus CP51,NC_025423,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,1391188.YP_009099117.1,Herelleviridae
1406783.YP_008770058.1 RNA polymerase sigma factor [Bacillus phage CampHawk],1406783,YP_008770058.1,Bacillus phage CampHawk, RNA polymerase sigma factor,VOG07471,Bacillus phage CampHawk,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus; Bacillus virus Camphawk,NC_022761,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,RefSeq,NA,NA,1,1406783.YP_008770058.1,Herelleviridae
941058.YP_007003440.1 hypothetical protein [Bacillus phage SP-10],941058,YP_007003440.1,Bacillus phage SP-10, hypothetical protein,VOG07471,Bacillus phage SP-10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; unclassified Spounavirinae,NC_019487,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,21597187,Literature,NA,NA,1,941058.YP_007003440.1,Herelleviridae
1002725.YP_004414965.1 RNA polymerase sigma factor [Shigella phage Shfl2],1002725,YP_004414965.1,Shigella phage Shfl2, RNA polymerase sigma factor,VOG05673,Shigella phage Shfl2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Shigella virus Shfl2,NC_015457,NA,NA,NA,623,Shigella flexneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Shigella,NA,RefSeq,NA,NA,1,1002725.YP_004414965.1,Myoviridae
1006972.YP_009168466.1 gp55 T4-like sigma factor involved in late transcription [Campylobacter virus IBB35],1006972,YP_009168466.1,Campylobacter virus IBB35, gp55 T4-like sigma factor involved in late transcription,VOG05673,Campylobacter virus IBB35,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Firehammervirus,"NC_027989, NC_041831, NC_041832, NC_041833, NC_041834",NA,NA,NA,194,Campylobacter,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae,NA,NA,NA,NA,1,1006972.YP_009168466.1,Myoviridae
1026955.YP_004508483.1 late transcription sigma factor [Synechococcus phage S-CRM01],1026955,YP_004508483.1,Synechococcus phage S-CRM01, late transcription sigma factor,VOG05673,Synechococcus phage S-CRM01,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_015569,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,NCBI Virus,NA,NA,2,1026955.YP_004508483.1,Myoviridae
1048189.YP_009806402.1 sigma factor for late transcription [Cyanophage S-TIM4],1048189,YP_009806402.1,Cyanophage S-TIM4, sigma factor for late transcription,VOG05673,Cyanophage S-TIM4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Thaumasvirus; Synechococcus virus STIM4,NC_048015,NA,NA,NA,84588,Synechococcus sp. WH 8102,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,RefSeq,NA,NA,1,1048189.YP_009806402.1,Myoviridae
1049283.YP_006488835.1 sigma factor [Acinetobacter phage ZZ1],1049283,YP_006488835.1,Acinetobacter phage ZZ1, sigma factor,VOG05673,Acinetobacter phage ZZ1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_018087,NA,NA,NA,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,NA,"NCBI Virus, RefSeq",NA,NA,1,1049283.YP_006488835.1,Myoviridae
1052121.YP_007004110.1 sigma factor for T4 late transcription [Escherichia phage Bp7],1052121,YP_007004110.1,Escherichia phage Bp7, sigma factor for T4 late transcription,VOG05673,Escherichia phage Bp7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus Bp7,NC_019500,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1052121.YP_007004110.1,Myoviridae
1054480.YP_007004807.1 RNA polymerase sigma factor [Escherichia phage wV7],1054480,YP_007004807.1,Escherichia phage wV7, RNA polymerase sigma factor,VOG05673,Escherichia phage wV7,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_019505,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq",NA,NA,1,1054480.YP_007004807.1,Myoviridae
1054834.YP_007004448.1 RNA polymerase sigma factor [Escherichia phage ime09],1054834,YP_007004448.1,Escherichia phage ime09, RNA polymerase sigma factor,VOG05673,Escherichia phage ime09,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus Ime09,NC_019503,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1054834.YP_007004448.1,Myoviridae
10665.NP_049679.1 RNA polymerase sigma factor [Escherichia virus T4 (T4)],10665,NP_049679.1,Escherichia virus T4 (T4), RNA polymerase sigma factor,VOG05673,Escherichia virus T4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_000866,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10665.NP_049679.1,Myoviridae
10693.YP_002854023.1 RNA polymerase sigma factor [Enterobacteria phage RB51],10693,YP_002854023.1,Enterobacteria phage RB51, RNA polymerase sigma factor,VOG05673,Enterobacteria phage RB51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_012635,NA,NA,NA,543,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NCBI Virus,NA,NA,2,10693.YP_002854023.1,Myoviridae
1079998.YP_007001843.1 gp55 late sigma factor [Synechococcus phage ACG-2014c],1079998,YP_007001843.1,Synechococcus phage ACG-2014c, gp55 late sigma factor,VOG05673,Synechococcus phage ACG-2014c,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Acionnavirus; unclassified Acionnavirus,NC_019444,NA,NA,NA,32051,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,25043051,Literature,NA,NA,1,1079998.YP_007001843.1,Myoviridae
1079999.YP_007001632.1 late transcription gp55 sigma factor [Synechococcus phage metaG-MbCM1],1079999,YP_007001632.1,Synechococcus phage metaG-MbCM1, late transcription gp55 sigma factor,VOG05673,Synechococcus phage metaG-MbCM1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_019443,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,NCBI Virus,NA,NA,1,1079999.YP_007001632.1,Myoviridae
1080800.YP_004895268.1 T4-like sigma transcription factor [Salmonella phage SFP10],1080800,YP_004895268.1,Salmonella phage SFP10, T4-like sigma transcription factor,VOG05673,Salmonella phage SFP10,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SFP10,NC_016073,NA,NA,NA,599,Salmonella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,2,1080800.YP_004895268.1,Ackermannviridae
1087482.YP_007501096.1 sigma factor for late transcription [Salmonella phage vB_SenM-S16],1087482,YP_007501096.1,Salmonella phage vB_SenM-S16, sigma factor for late transcription,VOG05673,Salmonella phage vB_SenM-S16,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Gelderlandvirus; Salmonella virus S16,NC_020416,NA,NA,NA,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella,NA,RefSeq,NA,NA,1,1087482.YP_007501096.1,Myoviridae
1091052.YP_007237413.1 putative sigma factor late transcription gp55 [Dickeya virus Limestone],1091052,YP_007237413.1,Dickeya virus Limestone, putative sigma factor late transcription gp55,VOG05673,Dickeya virus Limestone,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Aglimvirinae; Limestonevirus,NC_019925,NA,NA,NA,1089444,Dickeya solani,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae; Dickeya,NA,"NCBI Virus, RefSeq",NA,NA,1,1091052.YP_007237413.1,Ackermannviridae
1108865.YP_007008061.1 sigma factor for late transcription [Salmonella phage Sh19],1108865,YP_007008061.1,Salmonella phage Sh19, sigma factor for late transcription,VOG05673,Salmonella phage Sh19,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Ackermannviridae; Cvivirinae; Kuttervirus; Salmonella virus SH19,NC_019530,NA,NA,NA,90371,Salmonella enterica subsp. enterica serovar Typhimurium,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Salmonella; Salmonella enterica,NA,RefSeq,NA,NA,1,1108865.YP_007008061.1,Ackermannviridae
1110702.YP_004956929.1 putative sigma factor for late transcription [Campylobacter virus CPX],1110702,YP_004956929.1,Campylobacter virus CPX, putative sigma factor for late transcription,VOG05673,Campylobacter virus CPX,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Eucampyvirinae; Fletchervirus,NC_016562,NA,NA,NA,197,Campylobacter jejuni,Bacteria,Proteobacteria,delta/epsilon subdivisions,Epsilonproteobacteria,Campylobacterales; Campylobacteraceae; Campylobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1110702.YP_004956929.1,Myoviridae
1129147.YP_007348689.1 sigma factor for late transcription [Klebsiella phage KP27],1129147,YP_007348689.1,Klebsiella phage KP27, sigma factor for late transcription,VOG05673,Klebsiella phage KP27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Slopekvirus; Klebsiella virus KP27,NC_020080,NA,NA,NA,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,1129147.YP_007348689.1,Myoviridae
1141136.YP_006987343.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP32],1141136,YP_006987343.1,Cronobacter phage vB_CsaM_GAP32, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_GAP32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Mimasvirus; Cronobacter virus GAP32,NC_019401,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,RefSeq,NA,NA,1,1141136.YP_006987343.1,Myoviridae
1141138.YP_006986326.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP161],1141138,YP_006986326.1,Cronobacter phage vB_CsaM_GAP161, sigma factor for late transcription,VOG05673,Cronobacter phage vB_CsaM_GAP161,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; unclassified Tevenvirinae,NC_019398,NA,NA,NA,28141,Cronobacter sakazakii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Cronobacter,NA,"NCBI Virus, RefSeq",NA,NA,1,1141138.YP_006986326.1,Myoviridae
1141141.YP_006986618.1 sigma factor recognition late T4 promoter [Escherichia phage vB_EcoM_ACG-C40],1141141,YP_006986618.1,Escherichia phage vB_EcoM_ACG-C40, sigma factor recognition late T4 promoter,VOG05673,Escherichia phage vB_EcoM_ACG-C40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus C40,NC_019399,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,1141141.YP_006986618.1,Myoviridae
1147094.YP_007007237.1 RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],1147094,YP_007007237.1,Klebsiella phage vB_KleM_RaK2, RNA polymerase sigma factor,VOG05673,Klebsiella phage vB_KleM_RaK2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Alcyoneusvirus; Klebsiella virus RaK2,NC_019526,NA,NA,NA,576,Klebsiella sp.,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Klebsiella,NA,RefSeq,NA,NA,1,1147094.YP_007007237.1,Myoviridae
115987.NP_932402.1 RNA polymerase sigma factor [Aeromonas virus 44RR2],115987,NP_932402.1,Aeromonas virus 44RR2, RNA polymerase sigma factor,VOG05673,Aeromonas virus 44RR2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Biquartavirus,NC_005135,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,115987.NP_932402.1,Myoviridae
