taxon,n.sig,header,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family,tigr.hit1,tigr.hit2,tigr.hit3,tigr.hit,sig.class,sig.group
57477,2,57477.YP_006907409.1 hypothetical protein [Bacillus phage Bastille],YP_006907409.1,Bacillus phage Bastille, hypothetical protein,VOG00048,Bacillus phage Bastille,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bastillevirus; Bacillus virus Bastille,NC_018856,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,57477.YP_006907409.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
57477,2,57477.YP_006907438.1 RNA polymerase sigma-F factor [Bacillus phage Bastille],YP_006907438.1,Bacillus phage Bastille, RNA polymerase sigma-F factor,VOG00048,Bacillus phage Bastille,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Bastillevirus; Bacillus virus Bastille,NC_018856,NA,NA,NA,1396,Bacillus cereus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,RefSeq,NA,NA,1,57477.YP_006907438.1,Herelleviridae,SigBFG,spore_sigF,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
59241,1,59241.YP_004306957.1 RNA polymerase sigma factor [Streptococcus phage Dp-1],YP_004306957.1,Streptococcus phage Dp-1, RNA polymerase sigma factor,VOG00048,Streptococcus phage Dp-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_015274,NA,NA,NA,1313,Streptococcus pneumoniae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Streptococcus,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,59241.YP_004306957.1,Siphoviridae,sigma70-ECF,spore_sigmaK,Sig70_bacteroi1,spore_sigmaK,sporulation,sig70-3-spo
66711,1,66711.YP_009167877.1 RNA polymerase sigma factor [Escherichia phage AR1],YP_009167877.1,Escherichia phage AR1, RNA polymerase sigma factor,VOG05673,Escherichia phage AR1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus AR1,NC_027983,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,21507986,"Literature, RefSeq, UniProt",NA,NA,1,66711.YP_009167877.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
69609,1,69609.YP_009102271.1 RNA polymerase sigma factor [Enterobacteria phage RB27],YP_009102271.1,Enterobacteria phage RB27, RNA polymerase sigma factor,VOG05673,Enterobacteria phage RB27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_025448,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,UniProt,NA,NA,2,69609.YP_009102271.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
75320,1,75320.NP_899312.1 RNA polymerase sigma factor [Vibrio phage KVP40],NP_899312.1,Vibrio phage KVP40, RNA polymerase sigma factor,VOG05673,Vibrio phage KVP40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Schizotequatrovirus; Vibrio virus KVP40,NC_005083,NA,NA,NA,662,Vibrio,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,UniProt,NA,NA,2,75320.NP_899312.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
115987,1,115987.NP_932402.1 RNA polymerase sigma factor [Aeromonas virus 44RR2],NP_932402.1,Aeromonas virus 44RR2, RNA polymerase sigma factor,VOG05673,Aeromonas virus 44RR2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Biquartavirus,NC_005135,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,115987.NP_932402.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
115991,1,115991.YP_239026.1 RNA polymerase sigma factor [Escherichia virus RB43 (RB43)],YP_239026.1,Escherichia virus RB43 (RB43), RNA polymerase sigma factor,VOG05673,Escherichia virus RB43,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_007023,NA,NA,NA,543,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,"NCBI Virus, RefSeq",NA,NA,1,115991.YP_239026.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
115992,1,115992.YP_008125262.1 sigma factor for late transcription [Vibrio phage nt-1 (nt-1)],YP_008125262.1,Vibrio phage nt-1 (nt-1), sigma factor for late transcription,VOG05673,Vibrio phage nt-1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Schizotequatrovirus; Vibrio virus nt1,NC_021529,NA,NA,NA,691,Vibrio natriegens,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae; Vibrio; Vibrio harveyi group,NA,RefSeq,NA,NA,1,115992.YP_008125262.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
148943,1,148943.NP_835731.1 similar to RNA polymerase ECF-type sigma factor [Rhodothermus phage RM378],NP_835731.1,Rhodothermus phage RM378, similar to RNA polymerase ECF-type sigma factor,VOG00048,Rhodothermus phage RM378,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_004735,NA,NA,NA,29549,Rhodothermus marinus,Bacteria,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae; Rhodothermus,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,148943.NP_835731.1,Myoviridae,sigma70-ECF,Sig70_bacteroi1,SigW_bacill,Sig70_bacteroi1,other,sig70-lkl4
151538,1,151538.NP_076779.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL310],NP_076779.1,Lactococcus phage bIL310, sigma-70 family RNA polymerase sigma factor,VOG20983,Lactococcus phage bIL310,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002669,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,151538.NP_076779.1,Siphoviridae,sigma70-ECF,Sig-70_plancto1,Sig70_bacteroi1,Sig-70_plancto1,other,sig70-lkl4
151539,1,151539.NP_076821.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL312],NP_076821.1,Lactococcus phage bIL312, sigma-70 family RNA polymerase sigma factor,VOG20983,Lactococcus phage bIL312,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002671,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,151539.NP_076821.1,Siphoviridae,sigma70-ECF,Sig-70_plancto1,Sig70_bacteroi1,Sig-70_plancto1,other,sig70-lkl4
190478,1,190478.NP_612861.1 sigma-70 family RNA polymerase sigma factor [Clostridium phage phi3626],NP_612861.1,Clostridium phage phi3626, sigma-70 family RNA polymerase sigma factor,VOG00048,Clostridium phage phi3626,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_003524,NA,NA,NA,1502,Clostridium perfringens,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae; Clostridium,NA,"NCBI Virus, RefSeq",NA,NA,1,190478.NP_612861.1,Siphoviridae,sigma70-ECF,SigBFG,spore_sigF,spore_sigF,sporulation,sig70-3-spo
207656,2,207656.YP_008318397.1 putative late sigma factor [Bacillus phage phiNIT1],YP_008318397.1,Bacillus phage phiNIT1, putative late sigma factor,VOG00048,Bacillus phage phiNIT1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Nitunavirus; Bacillus virus NIT1,NC_021856,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,RefSeq,NA,NA,1,207656.YP_008318397.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
207656,2,207656.YP_008318421.1 putative sigma factor [Bacillus phage phiNIT1],YP_008318421.1,Bacillus phage phiNIT1, putative sigma factor,VOG00048,Bacillus phage phiNIT1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Bastillevirinae; Nitunavirus; Bacillus virus NIT1,NC_021856,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,RefSeq,NA,NA,1,207656.YP_008318421.1,Herelleviridae,spore_sigF,SigBFG,spore_sigG,spore_sigF,sporulation,sig70-3-spo
221915,1,221915.YP_009041371.1 putative sigma factor [Staphylococcus virus K],YP_009041371.1,Staphylococcus virus K, putative sigma factor,VOG00048,Staphylococcus virus K,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus,NC_005880,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,221915.YP_009041371.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
227470,1,227470.NP_943911.1 RNA polymerase sigma factor [Aeromonas virus Aeh1 (Aeh1)],NP_943911.1,Aeromonas virus Aeh1 (Aeh1), RNA polymerase sigma factor,VOG05673,Aeromonas virus Aeh1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_005260,NA,NA,NA,644,Aeromonas hydrophila,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,227470.NP_943911.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
233894,1,233894.YP_656283.1 RNA polymerase sigma factor [Aeromonas virus 25],YP_656283.1,Aeromonas virus 25, RNA polymerase sigma factor,VOG05673,Aeromonas virus 25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tulanevirus,NC_008208,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,233894.YP_656283.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
238854,1,238854.YP_195148.1 Sigma factor for late transcription [Synechococcus phage S-PM2],YP_195148.1,Synechococcus phage S-PM2, Sigma factor for late transcription,VOG05673,Synechococcus phage S-PM2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_006820,NA,NA,NA,1129,Synechococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae,NA,"NCBI Virus, UniProt",NA,NA,2,238854.YP_195148.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
260149,1,260149.YP_004300873.1 RNA polymerase sigma factor [Aeromonas virus 65],YP_004300873.1,Aeromonas virus 65, RNA polymerase sigma factor,VOG05673,Aeromonas virus 65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_015251,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,"16828113, 21029436","Literature, NCBI Virus, RefSeq",NA,NA,1,260149.YP_004300873.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
268746,1,268746.YP_214376.1 sigma factor for late transcription [Prochlorococcus phage P-SSM2],YP_214376.1,Prochlorococcus phage P-SSM2, sigma factor for late transcription,VOG05673,Prochlorococcus phage P-SSM2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Salacisavirus; Prochlorococcus virus PSSM2,NC_006883,NA,NA,NA,1218,Prochlorococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae,NA,UniProt,NA,NA,2,268746.YP_214376.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
268747,1,268747.YP_214679.1 sigma factor for late transcription [Prochlorococcus phage P-SSM4],YP_214679.1,Prochlorococcus phage P-SSM4, sigma factor for late transcription,VOG05673,Prochlorococcus phage P-SSM4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; unclassified Myoviridae,NC_006884,NA,NA,NA,1218,Prochlorococcus,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae,NA,UniProt,NA,NA,2,268747.YP_214679.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
279006,1,279006.YP_004300680.1 gp55 RNA polymerase sigma factor [Acinetobacter virus 133],YP_004300680.1,Acinetobacter virus 133, gp55 RNA polymerase sigma factor,VOG05673,Acinetobacter virus 133,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_015250,NA,NA,NA,40214,Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae; Acinetobacter,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,279006.YP_004300680.1,Myoviridae,sigma70-ECF,NA,NA,sigma70-ECF,non-specific,sig70
292029,1,292029.YP_240964.1 putative sigma factor [Staphylococcus virus G1],YP_240964.1,Staphylococcus virus G1, putative sigma factor,VOG00048,Staphylococcus virus G1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus,NC_007066,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,292029.YP_240964.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
293178,1,293178.YP_001595192.1 RNA polymerase sigma factor [Escherichia phage JS98],YP_001595192.1,Escherichia phage JS98, RNA polymerase sigma factor,VOG05673,Escherichia phage JS98,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Dhakavirus; Escherichia virus JS98,NC_010105,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,RefSeq,NA,NA,1,293178.YP_001595192.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
307898,1,307898.YP_009224564.1 putative sigma factor [Staphylococcus phage 812],YP_009224564.1,Staphylococcus phage 812, putative sigma factor,VOG00048,Staphylococcus phage 812,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Kayvirus; unclassified Kayvirus,NC_029080,NA,NA,NA,1279,Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,NA,"NCBI Virus, RefSeq",NA,NA,1,307898.YP_009224564.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
321023,1,321023.YP_238775.1 RNA polymerase sigma factor [Aeromonas virus 31],YP_238775.1,Aeromonas virus 31, RNA polymerase sigma factor,VOG05673,Aeromonas virus 31,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Biquartavirus; unclassified Biquartavirus,NC_007022,NA,NA,NA,645,Aeromonas salmonicida,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae; Aeromonas,NA,"NCBI Virus, RefSeq",NA,NA,1,321023.YP_238775.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
329381,1,329381.YP_003858349.1 gp55 Sigma factor for late transcription [Escherichia virus RB16],YP_003858349.1,Escherichia virus RB16, gp55 Sigma factor for late transcription,VOG05673,Escherichia virus RB16,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae,NC_014467,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,21029436,"Literature, NCBI Virus, RefSeq",NA,NA,1,329381.YP_003858349.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
330395,1,330395.YP_406450.1 gp74 [Listeria virus P100],YP_406450.1,Listeria virus P100, gp74,VOG00048,Listeria virus P100,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Jasinkavirinae; Pecentumvirus,NC_007610,NA,NA,NA,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,NA,"NCBI Virus, RefSeq",NA,NA,1,330395.YP_406450.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
345922,1,345922.YP_512346.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage Fah],YP_512346.1,Bacillus phage Fah, sigma-70 family RNA polymerase sigma factor,VOG00048,Bacillus phage Fah,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Wbetavirus; unclassified Wbetavirus,NC_007814,NA,NA,NA,1392,Bacillus anthracis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus cereus group,NA,"NCBI Virus, RefSeq",NA,NA,2,345922.YP_512346.1,Siphoviridae,SigBFG,spore_sigF,sigma70-ECF,spore_sigF,sporulation,sig70-3-spo
