seqname,locus_tag.d6,start,end,strand,locus_tag.168,gene,product,category1,category2,sporulation
NZ_CP015975.1,A8O17_RS00455,84874,85755,+,BSU_00760,pabC,4-amino-4-deoxychorismate pyruvate-lyase,Metabolism,Additional metabolic pathways,FALSE
NZ_CP015975.1,A8O17_RS00460,85737,86594,+,BSU_00770,folP,dihydropteroate synthase,Metabolism;Groups of genes,Additional metabolic pathways;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00465,86587,86949,+,BSU_00780,folB,dihydroneopterin aldolase,Metabolism;Groups of genes,Additional metabolic pathways;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00470,86946,87449,+,BSU_00790,folK,7%2C8-dihydro-6-hydroxymethylpterin pyrophosphokinase,Metabolism;Groups of genes,Additional metabolic pathways;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00475,87401,87610,+,BSU_00800,yazB,putative transcriptional regulator,Information processing,Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS00480,87634,88635,+,BSU_00810,dusB,tRNA-dihydrouridine synthase B,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00485,88727,90226,+,BSU_00820,lysS,lysyl-tRNA synthetase,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00570,101449,101913,+,BSU_00830,ctsR,transcriptional regulator of class III stress genes,Information processing;Information processing;Lifestyles;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Regulation of gene expression;Coping with stress;Coping with stress;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00575,101927,102484,+,BSU_00840,mcsA,activator of protein kinase McsB,Information processing;Lifestyles;Lifestyles;Lifestyles;Groups of genes,Regulation of gene expression;Sporulation;Coping with stress;Coping with stress;Phosphoproteins,TRUE
NZ_CP015975.1,A8O17_RS00580,102484,103575,+,BSU_00850,mcsB,protein arginine kinase,Information processing;Information processing;Lifestyles;Lifestyles;Lifestyles,"Protein synthesis, modification and degradation;Regulation of gene expression;Sporulation;Coping with stress;Coping with stress",TRUE
NZ_CP015975.1,A8O17_RS00585,103572,106004,+,BSU_00860,clpC,class III stress response-related ATPase%2C AAA+ superfamily,Information processing;Lifestyles;Lifestyles;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Sporulation;Coping with stress;Coping with stress;Phosphoproteins",TRUE
NZ_CP015975.1,A8O17_RS00590,106096,107472,+,BSU_00870,radA,DNA repair protein%3B 6-O-methylguanine-DNA methyltransferase,Metabolism;Information processing;Information processing;Lifestyles;Lifestyles,Nucleotide metabolism;Genetics;Genetics;Coping with stress;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS00595,107476,108558,+,BSU_00880,disA,diadenylate cyclase%3B DNA integrity scanning protein%3B cell cycle checkpoint DNA scanning protein,Cellular processes;Metabolism;Lifestyles;Lifestyles;Lifestyles;Lifestyles,Cell envelope and cell division;Nucleotide metabolism;Sporulation;Coping with stress;Coping with stress;Coping with stress,TRUE
NZ_CP015975.1,A8O17_RS00600,108674,109774,+,BSU_00890,yacL,putative membrane protein possibly involved in RNA binding,Lifestyles;Lifestyles,Coping with stress;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS00605,109789,110487,+,BSU_00900,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase%2C nonmevalonate isoprenoid pathway,Metabolism;Lifestyles;Lifestyles;Groups of genes,Lipid metabolism;Coping with stress;Coping with stress;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00610,110480,110956,+,BSU_00910,ispF,2-C-methyl-D-erythritol-2%2C4-cyclodiphosphate synthase,Metabolism;Lifestyles;Groups of genes,Lipid metabolism;Coping with stress;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00615,111047,112498,+,BSU_00920,gltX,glutamyl-tRNA synthetase,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00625,112800,113453,+,BSU_00930,cysE,serine O-acetyltransferase,Metabolism;Information processing,Amino acid/ nitrogen metabolism;Genetics,FALSE
NZ_CP015975.1,A8O17_RS00630,113450,114850,+,BSU_00940,cysS,dual cysteinyl-tRNA synthetase%3B cysteine persulfide synthase,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00635,114854,115285,+,BSU_00950,mrnC,ribonuclease for 23S RNA maturation%2C mini-RNase III,Information processing;Information processing,"RNA synthesis and degradation;Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00640,115269,116018,+,BSU_00960,rlmB,23S rRNA (Gm2251)-methyltransferase,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00645,116025,116537,+,BSU_00970,raeA,ribosome-dependent mRNA endonuclease,Information processing,RNA synthesis and degradation,FALSE
NZ_CP015975.1,A8O17_RS00650,116600,117256,+,BSU_00980,sigH,RNA polymerase sigma-30 factor (sigma(H)),Information processing;Information processing,RNA synthesis and degradation;Regulation of gene expression,TRUE
NZ_CP015975.1,A8O17_RS00655,117349,117498,+,BSU_00990,rpmGB,ribosomal protein L33,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00660,117532,117711,+,BSU_01000,secE,preprotein translocase subunit,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Membrane proteins",FALSE
NZ_CP015975.1,A8O17_RS00665,117890,118423,+,BSU_01010,nusG,RNA polymerase elongation pause factor,Information processing,RNA synthesis and degradation,FALSE
NZ_CP015975.1,A8O17_RS00670,118591,119016,+,BSU_01020,rplK,ribosomal protein L11 (BL11),Information processing;Information processing;Groups of genes;Groups of genes,"Genetics;Protein synthesis, modification and degradation;Phosphoproteins;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00675,119111,119809,+,BSU_01030,rplA,ribosomal protein L1 (BL1),Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00680,120061,120561,+,BSU_01040,rplJ,ribosomal protein L10 (BL5),Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00685,120607,120978,+,BSU_01050,rplL,ribosomal protein L12 (BL9),Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00690,121068,121673,+,BSU_01060,rlmG,23S rRNA m2G1835 methyltransferase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00695,121919,125500,+,BSU_01070,rpoB,RNA polymerase (beta subunit),Information processing;Groups of genes;Groups of genes;Groups of genes,RNA synthesis and degradation;Essential genes;Membrane proteins;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS00700,125562,129161,+,BSU_01080,rpoC,RNA polymerase (beta' subunit),Information processing;Groups of genes;Groups of genes;Groups of genes,RNA synthesis and degradation;Essential genes;Membrane proteins;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS00705,129340,129588,+,BSU_01090,rulS,K-turn RNA binding protein%3B alternative ribosomal protein L7A,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00710,129702,130118,+,BSU_01100,rpsL,ribosomal protein S12 (BS12),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00715,130160,130630,+,BSU_01110,rpsG,ribosomal protein S7 (BS7),Information processing;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00720,130684,132762,+,BSU_01120,fusA,elongation factor G,Information processing;Groups of genes;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins;Phosphoproteins;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00725,132882,134072,+,BSU_01130,tufA,elongation factor Tu,Information processing;Groups of genes;Groups of genes;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Membrane proteins;Phosphoproteins;Phosphoproteins;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00730,134171,135127,+,BSU_01140,ybaC,putative proline iminopeptidase,Groups of genes,Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS00735,135364,135672,+,BSU_01150,rpsJ,ribosomal protein S10 (BS13)%3B transcription antitermination factor,Information processing;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00740,135712,136341,+,BSU_01160,rplC,ribosomal protein L3 (BL3),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00745,136369,136992,+,BSU_01170,rplD,ribosomal protein L4,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00750,136992,137279,+,BSU_01180,rplW,ribosomal protein L23,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00755,137311,138144,+,BSU_01190,rplB,ribosomal protein L2 (BL2),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00760,138202,138480,+,BSU_01200,rpsS,ribosomal protein S19 (BS19),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00765,138497,138838,+,BSU_01210,rplV,ribosomal protein L22 (BL17),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00770,138842,139498,+,BSU_01220,rpsC,ribosomal protein S3 (BS3),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00775,139500,139934,+,BSU_01230,rplP,ribosomal protein L16,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00780,139924,140124,+,BSU_01240,rpmC,ribosomal protein L29,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00785,140147,140410,+,BSU_01250,rpsQ,ribosomal protein S17 (BS16),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00790,140451,140819,+,BSU_01260,rplNA,ribosomal protein L14,Information processing;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00795,140857,141168,+,BSU_01270,rplX,ribosomal protein L24 (BL23),Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00800,141195,141734,+,BSU_01280,rplE,ribosomal protein L5 (BL6),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00805,141757,141942,+,BSU_01290,rpsNA,ribosomal protein S14,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00810,141974,142372,+,BSU_01300,rpsH,ribosomal protein S8 (BS8),Information processing;Groups of genes;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00815,142402,142941,+,BSU_01310,rplF,ribosomal protein L6 (BL8),Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00820,142974,143336,+,BSU_01320,rplR,ribosomal protein L18,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
NZ_CP015975.1,A8O17_RS00825,143361,143861,+,BSU_01330,rpsE,ribosomal protein S5,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Universally conserved proteins",FALSE
