header,protein,sp,description,group,new.header
AYP68748.1 RNA polymerase sigma factor [Bacillus phage vB_BpsS-36],AYP68748.1,Bacillus phage vB_BpsS-36, RNA polymerase sigma factor,phage,AYP68748.1_phage
QDP42999.1 RNA polymerase sigma factor [Bacillus phage vB_BmeM-Goe8],QDP42999.1,Bacillus phage vB_BmeM-Goe8, RNA polymerase sigma factor,phage,QDP42999.1_phage
QDP42942.1 RNA polymerase sigma factor [Bacillus phage vB_BmeM-Goe8],QDP42942.1,Bacillus phage vB_BmeM-Goe8, RNA polymerase sigma factor,phage,QDP42942.1_phage
ALV83472.1 DNA-directed RNA polymerase sigma-70 factor [Bacillus phage vB_BceS-MY192],ALV83472.1,Bacillus phage vB_BceS-MY192, DNA-directed RNA polymerase sigma-70 factor,phage,ALV83472.1_phage
AFQ96418.1 putative RNA polymerase sigma factor G [Bacillus phage vB_BceM_Bc431v3],AFQ96418.1,Bacillus phage vB_BceM_Bc431v3, putative RNA polymerase sigma factor G,phage,AFQ96418.1_phage
"AFQ96417.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage vB_BceM_Bc431v3]",AFQ96417.1,Bacillus phage vB_BceM_Bc431v3," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",phage,AFQ96417.1_phage
ALA13223.1 RNA polymerase sigma factor [Bacillus phage TsarBomba],ALA13223.1,Bacillus phage TsarBomba, RNA polymerase sigma factor,phage,ALA13223.1_phage
ARW58411.1 RNA polymerase sporulation specific sigma factor [Bacillus phage Tavor_SA],ARW58411.1,Bacillus phage Tavor_SA, RNA polymerase sporulation specific sigma factor,phage,ARW58411.1_phage
AKC02694.1 RNA polymerase sigma factor [Bacillus phage Stills],AKC02694.1,Bacillus phage Stills, RNA polymerase sigma factor,phage,AKC02694.1_phage
AKC02726.1 RNA polymerase sigma factor [Bacillus phage Stills],AKC02726.1,Bacillus phage Stills, RNA polymerase sigma factor,phage,AKC02726.1_phage
AGY48752.1 RNA polymerase sigma factor [Bacillus phage Staley],AGY48752.1,Bacillus phage Staley, RNA polymerase sigma factor,phage,AGY48752.1_phage
AGY48783.1 RNA polymerase sigma 70 factor [Bacillus phage Staley],AGY48783.1,Bacillus phage Staley, RNA polymerase sigma 70 factor,phage,AGY48783.1_phage
AKA61495.1 RNA polymerase sigma factor [Bacillus phage Stahl],AKA61495.1,Bacillus phage Stahl, RNA polymerase sigma factor,phage,AKA61495.1_phage
AKA61526.1 RNA polymerase sigma factor [Bacillus phage Stahl],AKA61526.1,Bacillus phage Stahl, RNA polymerase sigma factor,phage,AKA61526.1_phage
BAK52932.1 RNA polymerase sigma factor [Bacillus phage SP-10],BAK52932.1,Bacillus phage SP-10, RNA polymerase sigma factor,phage,BAK52932.1_phage
AGY48356.1 RNA polymerase sigma factor SigB [Bacillus phage Slash],AGY48356.1,Bacillus phage Slash, RNA polymerase sigma factor SigB,phage,AGY48356.1_phage
AGY48388.1 RNA polymerase sigma factor [Bacillus phage Slash],AGY48388.1,Bacillus phage Slash, RNA polymerase sigma factor,phage,AGY48388.1_phage
ANH50776.1 SigF-like RNA polymerase sigma factor [Bacillus phage SalinJah],ANH50776.1,Bacillus phage SalinJah, SigF-like RNA polymerase sigma factor,phage,ANH50776.1_phage
AMW63146.1 sigma factor [Bacillus phage SageFayge],AMW63146.1,Bacillus phage SageFayge, sigma factor,phage,AMW63146.1_phage
AXF41881.1 RNA polymerase sigma factor [Bacillus phage Saddex],AXF41881.1,Bacillus phage Saddex, RNA polymerase sigma factor,phage,AXF41881.1_phage
AOZ62117.1 RNA polymerase sigma 28 subunit [Bacillus phage QCM8],AOZ62117.1,Bacillus phage QCM8, RNA polymerase sigma 28 subunit,phage,AOZ62117.1_phage
ASR78475.1 RNA polymerase sigma factor [Bacillus phage PPIsBest],ASR78475.1,Bacillus phage PPIsBest, RNA polymerase sigma factor,phage,ASR78475.1_phage
ANY29316.1 putative RNA polymerase sigma factor G [Bacillus phage PK16],ANY29316.1,Bacillus phage PK16, putative RNA polymerase sigma factor G,phage,ANY29316.1_phage
AEV89274.1 RNA-polymerase sigma-factor [Bacillus phage phIS3501],AEV89274.1,Bacillus phage phIS3501, RNA-polymerase sigma-factor,phage,AEV89274.1_phage
QDH49502.1 sigma factor [Bacillus phage Phireball],QDH49502.1,Bacillus phage Phireball, sigma factor,phage,QDH49502.1_phage
BAN59653.1 putative sigma factor [Bacillus phage phiNIT1],BAN59653.1,Bacillus phage phiNIT1, putative sigma factor,phage,BAN59653.1_phage
AGV99468.1 RNA polymerase sigma factor [Bacillus phage phiCM3],AGV99468.1,Bacillus phage phiCM3, RNA polymerase sigma factor,phage,AGV99468.1_phage
AGB62713.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage phiAGATE],AGB62713.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 2,phage,AGB62713.1_phage
ALN97362.1 sigma-70 [Bacillus phage phi4I1],ALN97362.1,Bacillus phage phi4I1, sigma-70,phage,ALN97362.1_phage
ANT40413.1 putative RNA polymerase sigma subunit [Bacillus phage PfEFR-5],ANT40413.1,Bacillus phage PfEFR-5, putative RNA polymerase sigma subunit,phage,ANT40413.1_phage
ANT40183.1 putative RNA polymerase sigma subunit [Bacillus phage PfEFR-4],ANT40183.1,Bacillus phage PfEFR-4, putative RNA polymerase sigma subunit,phage,ANT40183.1_phage
ALA07697.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage PBC6],ALA07697.1,Bacillus phage PBC6, putative RNA polymerase sigma 28 subunit SigF,phage,ALA07697.1_phage
ASR79669.1 RNA polymerase sigma factor [Bacillus phage OTooleKemple52],ASR79669.1,Bacillus phage OTooleKemple52, RNA polymerase sigma factor,phage,ASR79669.1_phage
AMW63445.1 sigma factor [Bacillus phage NotTheCreek],AMW63445.1,Bacillus phage NotTheCreek, sigma factor,phage,AMW63445.1_phage
ARW58471.1 RNA polymerase sporulation specific sigma factor [Bacillus phage Negev_SA],ARW58471.1,Bacillus phage Negev_SA, RNA polymerase sporulation specific sigma factor,phage,ARW58471.1_phage
AIW03562.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],AIW03562.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,phage,AIW03562.1_phage
AIW03563.1 RNA polymerase sigma factor [Bacillus phage Moonbeam],AIW03563.1,Bacillus phage Moonbeam, RNA polymerase sigma factor,phage,AIW03563.1_phage
AXQ67820.1 RNA polymerase subunit alpha [Bacillus phage Kioshi],AXQ67820.1,Bacillus phage Kioshi, RNA polymerase subunit alpha,phage,AXQ67820.1_phage
AXQ67819.1 RNA polymerase sigma factor [Bacillus phage Kioshi],AXQ67819.1,Bacillus phage Kioshi, RNA polymerase sigma factor,phage,AXQ67819.1_phage
ANU79852.1 sigma factor [Bacillus phage Kida],ANU79852.1,Bacillus phage Kida, sigma factor,phage,ANU79852.1_phage
AXQ67115.1 RNA polymerase [Bacillus phage Kamfam],AXQ67115.1,Bacillus phage Kamfam, RNA polymerase,phage,AXQ67115.1_phage
AID17798.1 putative RNA polymerase sigma-70 factor [Bacillus phage JBP901],AID17798.1,Bacillus phage JBP901, putative RNA polymerase sigma-70 factor,phage,AID17798.1_phage
AID17799.1 putative RNA polymerase sigma factor G [Bacillus phage JBP901],AID17799.1,Bacillus phage JBP901, putative RNA polymerase sigma factor G,phage,AID17799.1_phage
ASR79696.1 RNA polymerase sigma factor [Bacillus phage Janet],ASR79696.1,Bacillus phage Janet, RNA polymerase sigma factor,phage,ASR79696.1_phage
AHZ10517.1 RNA polymerase sigma factor [Bacillus phage Hoody T],AHZ10517.1,Bacillus phage Hoody T, RNA polymerase sigma factor,phage,AHZ10517.1_phage
AUV57859.1 SigF-like RNA polymerase sigma factor [Bacillus phage HonestAbe],AUV57859.1,Bacillus phage HonestAbe, SigF-like RNA polymerase sigma factor,phage,AUV57859.1_phage
AXQ66958.1 RNA polymerase subunit alpha [Bacillus phage Hobo],AXQ66958.1,Bacillus phage Hobo, RNA polymerase subunit alpha,phage,AXQ66958.1_phage
AXQ66957.1 RNA polymerase sigma factor [Bacillus phage Hobo],AXQ66957.1,Bacillus phage Hobo, RNA polymerase sigma factor,phage,AXQ66957.1_phage
AHZ10241.1 sigF-like RNA polymerase sigma factor [Bacillus phage Hakuna],AHZ10241.1,Bacillus phage Hakuna, sigF-like RNA polymerase sigma factor,phage,AHZ10241.1_phage
AGY47431.1 RNA polymerase sigma-70 factor [Bacillus phage Grass],AGY47431.1,Bacillus phage Grass, RNA polymerase sigma-70 factor,phage,AGY47431.1_phage
ABC40488.1 putative RNA polymerase sigma subunit [Bacillus phage Gamma isolate d'Herelle],ABC40488.1,Bacillus phage Gamma isolate d'Herelle, putative RNA polymerase sigma subunit,phage,ABC40488.1_phage
ABA42728.1 sigma70 factor [Bacillus phage Fah],ABA42728.1,Bacillus phage Fah, sigma70 factor,phage,ABA42728.1_phage
AHZ09937.1 RNA polymerase sigma factor [Bacillus phage Evoli],AHZ09937.1,Bacillus phage Evoli, RNA polymerase sigma factor,phage,AHZ09937.1_phage
AMB18751.1 RNA polymerase sigma factor [Bacillus phage Eldridge],AMB18751.1,Bacillus phage Eldridge, RNA polymerase sigma factor,phage,AMB18751.1_phage
AMB18752.1 sporulation sigma factor SigF [Bacillus phage Eldridge],AMB18752.1,Bacillus phage Eldridge, sporulation sigma factor SigF,phage,AMB18752.1_phage
AMW62796.1 sigma factor [Bacillus phage DIGNKC],AMW62796.1,Bacillus phage DIGNKC, sigma factor,phage,AMW62796.1_phage
AMO25912.1 RNA polymerase sigma-70 factor sigma-B/F/G subfamily [Bacillus phage Deep Blue],AMO25912.1,Bacillus phage Deep Blue, RNA polymerase sigma-70 factor sigma-B/F/G subfamily,phage,AMO25912.1_phage
"ABA46386.1 RNA polymerase sigma factor, putative [Bacillus phage Cherry]",ABA46386.1,Bacillus phage Cherry," RNA polymerase sigma factor, putative",phage,ABA46386.1_phage
ARW58529.1 RNA polymerase sporulation specific sigma factor [Bacillus phage Carmel_SA],ARW58529.1,Bacillus phage Carmel_SA, RNA polymerase sporulation specific sigma factor,phage,ARW58529.1_phage
AGY46934.1 RNA polymerase sigma factor [Bacillus phage CampHawk],AGY46934.1,Bacillus phage CampHawk, RNA polymerase sigma factor,phage,AGY46934.1_phage
AHZ09647.1 RNA polymerase sigma factor [Bacillus phage CAM003],AHZ09647.1,Bacillus phage CAM003, RNA polymerase sigma factor,phage,AHZ09647.1_phage
AUO78602.1 sigma-70 [Bacillus phage BtiUFT6.51-F],AUO78602.1,Bacillus phage BtiUFT6.51-F, sigma-70,phage,AUO78602.1_phage
AFL46426.1 RNA polymerase sigma factor [Bacillus phage BtCS33],AFL46426.1,Bacillus phage BtCS33, RNA polymerase sigma factor,phage,AFL46426.1_phage
ATN94413.1 RNA polymerase sigma 70 factor [Bacillus phage BSP9],ATN94413.1,Bacillus phage BSP9, RNA polymerase sigma 70 factor,phage,ATN94413.1_phage
AXH71210.1 putative RNA polymerase sigma factor 2 [Bacillus phage BSP38],AXH71210.1,Bacillus phage BSP38, putative RNA polymerase sigma factor 2,phage,AXH71210.1_phage
AUO79472.1 RNA polymerase sigma factor 2 [Bacillus phage BSP10],AUO79472.1,Bacillus phage BSP10, RNA polymerase sigma factor 2,phage,AUO79472.1_phage
AEZ50316.1 putative RNA polymerase sigma factor [Bacillus phage BPS13],AEZ50316.1,Bacillus phage BPS13, putative RNA polymerase sigma factor,phage,AEZ50316.1_phage
AGI12133.1 putative RNA polymerase sigma factor [Bacillus phage BPS10C],AGI12133.1,Bacillus phage BPS10C, putative RNA polymerase sigma factor,phage,AGI12133.1_phage
AHJ87680.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage Bp8p-T],AHJ87680.1,Bacillus phage Bp8p-T, putative RNA polymerase sigma factor SigF 2,phage,AHJ87680.1_phage
AHJ87469.1 putative RNA polymerase sigma factor SigF 2 [Bacillus phage Bp8p-C],AHJ87469.1,Bacillus phage Bp8p-C, putative RNA polymerase sigma factor SigF 2,phage,AHJ87469.1_phage
AII27989.1 RNA polymerase sigma factor [Bacillus phage Bobb],AII27989.1,Bacillus phage Bobb, RNA polymerase sigma factor,phage,AII27989.1_phage
AGY46709.1 RNA polymerase sigma factor [Bacillus phage BigBertha],AGY46709.1,Bacillus phage BigBertha, RNA polymerase sigma factor,phage,AGY46709.1_phage
AEW47604.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage BCU4],AEW47604.1,Bacillus phage BCU4, putative RNA polymerase sigma 28 subunit SigF,phage,AEW47604.1_phage
"AHJ87163.1 putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage BCP8-2]",AHJ87163.1,Bacillus phage BCP8-2," putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",phage,AHJ87163.1_phage
AHJ87164.1 putative RNA polymerase sigma factor G [Bacillus phage BCP8-2],AHJ87164.1,Bacillus phage BCP8-2, putative RNA polymerase sigma factor G,phage,AHJ87164.1_phage
AEW47115.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage BCP78],AEW47115.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigF,phage,AEW47115.1_phage
AQN32486.1 RNA polymerase sporulation specific sigma factor SigF [Bacillus phage BCP12],AQN32486.1,Bacillus phage BCP12, RNA polymerase sporulation specific sigma factor SigF,phage,AQN32486.1_phage
"AHN66675.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage Bcp1]",AHN66675.1,Bacillus phage Bcp1," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",phage,AHN66675.1_phage
"AHN66674.1 RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [Bacillus phage Bcp1]",AHN66674.1,Bacillus phage Bcp1," RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",phage,AHN66674.1_phage
AUM58961.1 DNA replication/modification protein [Bacillus phage BCP01],AUM58961.1,Bacillus phage BCP01, DNA replication/modification protein,phage,AUM58961.1_phage
"CCE73875.1 sigma70, RNA polymerase sigma factor [Bacillus phage BceA1]",CCE73875.1,Bacillus phage BceA1," sigma70, RNA polymerase sigma factor",phage,CCE73875.1_phage
AXU41211.1 RNA polymerase sigma factor [Bacillus phage BC01],AXU41211.1,Bacillus phage BC01, RNA polymerase sigma factor,phage,AXU41211.1_phage
QEG04258.1 putative RNA polymerase sigma 28 subunit [Bacillus phage BC-T25],QEG04258.1,Bacillus phage BC-T25, putative RNA polymerase sigma 28 subunit,phage,QEG04258.1_phage
AEQ34342.1 RNA polymerase sigma-F factor [Bacillus phage Bastille],AEQ34342.1,Bacillus phage Bastille, RNA polymerase sigma-F factor,phage,AEQ34342.1_phage
AEW47372.1 putative RNA polymerase sigma 28 subunit SigF [Bacillus phage B5S],AEW47372.1,Bacillus phage B5S, putative RNA polymerase sigma 28 subunit SigF,phage,AEW47372.1_phage
AEZ65936.1 sporulation sigma factor SigF-like protein [Bacillus phage B4],AEZ65936.1,Bacillus phage B4, sporulation sigma factor SigF-like protein,phage,AEZ65936.1_phage
ALA13372.1 SigF-like RNA polymerase sigma factor [Bacillus phage AvesoBmore],ALA13372.1,Bacillus phage AvesoBmore, SigF-like RNA polymerase sigma factor,phage,ALA13372.1_phage
AZF88386.1 putative RNA polymerase sigma subunit [Bacillus phage AP631],AZF88386.1,Bacillus phage AP631, putative RNA polymerase sigma subunit,phage,AZF88386.1_phage
ASU01064.1 RNA polymerase sigma factor [Bacillus phage Anthony],ASU01064.1,Bacillus phage Anthony, RNA polymerase sigma factor,phage,ASU01064.1_phage
QDH50209.1 sigma factor [Bacillus phage ALPS],QDH50209.1,Bacillus phage ALPS, sigma factor,phage,QDH50209.1_phage
QFG05971.1 RNA polymerase sigma factor [Bacillus phage 280BB001],QFG05971.1,Bacillus phage 280BB001, RNA polymerase sigma factor,phage,QFG05971.1_phage
QFG05890.1 RNA polymerase sigma factor [Bacillus phage 276BB001],QFG05890.1,Bacillus phage 276BB001, RNA polymerase sigma factor,phage,QFG05890.1_phage
QFR56516.1 RNA polymerase sigma factor [Bacillus phage 056SW001B],QFR56516.1,Bacillus phage 056SW001B, RNA polymerase sigma factor,phage,QFR56516.1_phage
QFG05277.1 RNA polymerase sigma factor [Bacillus phage 019DV004],QFG05277.1,Bacillus phage 019DV004, RNA polymerase sigma factor,phage,QFG05277.1_phage
QFG05192.1 RNA polymerase sigma factor [Bacillus phage 019DV002],QFG05192.1,Bacillus phage 019DV002, RNA polymerase sigma factor,phage,QFG05192.1_phage
ASR79140.1 RNA polymerase sigma factor [Bacillus phage Zainny],ASR79140.1,Bacillus phage Zainny, RNA polymerase sigma factor,phage,ASR79140.1_phage
QEG13664.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage vB_BspM_MarvelLand],QEG13664.1,Bacillus phage vB_BspM_MarvelLand, putative RNA polymerase sigma 28 subunit SigG,phage,QEG13664.1_phage
ALA13222.1 RNA polymerase sigma factor [Bacillus phage TsarBomba],ALA13222.1,Bacillus phage TsarBomba, RNA polymerase sigma factor,phage,ALA13222.1_phage
"AGT13480.1 RNA polymerase, SigF-like [Bacillus phage Troll]",AGT13480.1,Bacillus phage Troll," RNA polymerase, SigF-like",phage,AGT13480.1_phage
QLF85884.1 RNA polymerase sigma factor [Bacillus phage Tomato],QLF85884.1,Bacillus phage Tomato, RNA polymerase sigma factor,phage,QLF85884.1_phage
ASZ75934.1 SigF-like RNA polymerase sigma factor [Bacillus phage Taffo16],ASZ75934.1,Bacillus phage Taffo16, SigF-like RNA polymerase sigma factor,phage,ASZ75934.1_phage
AGY48597.1 RNA polymerase sigma factor [Bacillus phage Spock],AGY48597.1,Bacillus phage Spock, RNA polymerase sigma factor,phage,AGY48597.1_phage
ANI24840.1 RNA polymerase sigma factor [Bacillus phage Smudge],ANI24840.1,Bacillus phage Smudge, RNA polymerase sigma factor,phage,ANI24840.1_phage
AOZ62476.1 RNA polymerase sigma factor [Bacillus phage SBP8a],AOZ62476.1,Bacillus phage SBP8a, RNA polymerase sigma factor,phage,AOZ62476.1_phage
AIF72077.1 sigF-like RNA polymerase [Bacillus phage Riley],AIF72077.1,Bacillus phage Riley, sigF-like RNA polymerase,phage,AIF72077.1_phage
ANY29315.1 putative RNA polymerase sigma-70 factor [Bacillus phage PK16],ANY29315.1,Bacillus phage PK16, putative RNA polymerase sigma-70 factor,phage,ANY29315.1_phage
AMW62240.1 sigma factor [Bacillus phage Phrodo],AMW62240.1,Bacillus phage Phrodo, sigma factor,phage,AMW62240.1_phage
AGB62714.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage phiAGATE],AGB62714.1,Bacillus phage phiAGATE, putative RNA polymerase sigma factor SigF 1,phage,AGB62714.1_phage
ALA07698.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage PBC6],ALA07698.1,Bacillus phage PBC6, putative RNA polymerase sigma 28 subunit SigG,phage,ALA07698.1_phage
AXQ67439.1 RNA polymerase sigma factor [Bacillus phage OmnioDeoPrimus],AXQ67439.1,Bacillus phage OmnioDeoPrimus, RNA polymerase sigma factor,phage,AXQ67439.1_phage
AMW61377.1 sigma factor [Bacillus phage Nigalana],AMW61377.1,Bacillus phage Nigalana, sigma factor,phage,AMW61377.1_phage
AMW63747.1 sigma factor [Bacillus phage Nemo],AMW63747.1,Bacillus phage Nemo, sigma factor,phage,AMW63747.1_phage
AHZ10802.1 RNA polymerase sigma factor [Bacillus phage Megatron],AHZ10802.1,Bacillus phage Megatron, RNA polymerase sigma factor,phage,AHZ10802.1_phage
AIW03238.1 RNA polymerase sigma factor [Bacillus phage Mater],AIW03238.1,Bacillus phage Mater, RNA polymerase sigma factor,phage,AIW03238.1_phage
AMW61625.1 sigma factor [Bacillus phage Juglone],AMW61625.1,Bacillus phage Juglone, sigma factor,phage,AMW61625.1_phage
ARQ95128.1 SigF-like RNA polymerase sigma factor [Bacillus phage Flapjack],ARQ95128.1,Bacillus phage Flapjack, SigF-like RNA polymerase sigma factor,phage,ARQ95128.1_phage
ALA46534.1 SigF-like RNA polymerase sigma factor [Bacillus phage Eyuki],ALA46534.1,Bacillus phage Eyuki, SigF-like RNA polymerase sigma factor,phage,ALA46534.1_phage
ANT41264.1 sigma factor [Bacillus phage DirtyBetty],ANT41264.1,Bacillus phage DirtyBetty, sigma factor,phage,ANT41264.1_phage
AMO25911.1 RNA polymerase sigma-70 factor sigma-B/F/G subfamily [Bacillus phage Deep Blue],AMO25911.1,Bacillus phage Deep Blue, RNA polymerase sigma-70 factor sigma-B/F/G subfamily,phage,AMO25911.1_phage
QEM43258.1 RNA polymerase sigma factor [Bacillus phage Chotacabras],QEM43258.1,Bacillus phage Chotacabras, RNA polymerase sigma factor,phage,QEM43258.1_phage
ASR78776.1 RNA polymerase sigma factor [Bacillus phage Bubs],ASR78776.1,Bacillus phage Bubs, RNA polymerase sigma factor,phage,ASR78776.1_phage
AHJ87681.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage Bp8p-T],AHJ87681.1,Bacillus phage Bp8p-T, putative RNA polymerase sigma factor SigF 1,phage,AHJ87681.1_phage
AHJ87470.1 putative RNA polymerase sigma factor SigF 1 [Bacillus phage Bp8p-C],AHJ87470.1,Bacillus phage Bp8p-C, putative RNA polymerase sigma factor SigF 1,phage,AHJ87470.1_phage
AII27990.1 RNA polymerase sigma factor [Bacillus phage Bobb],AII27990.1,Bacillus phage Bobb, RNA polymerase sigma factor,phage,AII27990.1_phage
AOZ61848.1 RNA polymerase sigma factor [Bacillus phage BJ4],AOZ61848.1,Bacillus phage BJ4, RNA polymerase sigma factor,phage,AOZ61848.1_phage
QDH49898.1 sigma factor [Bacillus phage Beyonphe],QDH49898.1,Bacillus phage Beyonphe, sigma factor,phage,QDH49898.1_phage
ANM46154.1 RNA polymerase sigma factor [Bacillus phage Belinda],ANM46154.1,Bacillus phage Belinda, RNA polymerase sigma factor,phage,ANM46154.1_phage
AEW47605.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCU4],AEW47605.1,Bacillus phage BCU4, putative RNA polymerase sigma 28 subunit SigG,phage,AEW47605.1_phage
AEW47116.1 putative RNA polymerase sigma 28 subunit SigG [Bacillus phage BCP78],AEW47116.1,Bacillus phage BCP78, putative RNA polymerase sigma 28 subunit SigG,phage,AEW47116.1_phage
AQN32487.1 RNA polymerase sporulation specific sigma factor SigG [Bacillus phage BCP12],AQN32487.1,Bacillus phage BCP12, RNA polymerase sporulation specific sigma factor SigG,phage,AQN32487.1_phage
AUM58962.1 DNA replication/modification protein [Bacillus phage BCP01],AUM58962.1,Bacillus phage BCP01, DNA replication/modification protein,phage,AUM58962.1_phage
AXU41213.1 RNA polymerase sigma factor [Bacillus phage BC01],AXU41213.1,Bacillus phage BC01, RNA polymerase sigma factor,phage,AXU41213.1_phage
QEG04257.1 RNA polymerase sigma factor [Bacillus phage BC-T25],QEG04257.1,Bacillus phage BC-T25, RNA polymerase sigma factor,phage,QEG04257.1_phage
ASR78944.1 RNA polymerase sigma factor [Bacillus phage AaronPhadgers],ASR78944.1,Bacillus phage AaronPhadgers, RNA polymerase sigma factor,phage,ASR78944.1_phage
