#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00083	16	16	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00084	364	364	XhXpXrXs	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16
VOG00085	29	29	Xu	REFSEQ hypothetical protein
VOG00086	27	15	Xu	REFSEQ hypothetical protein
VOG00087	194	194	Xu	REFSEQ hypothetical protein
VOG00088	810	484	XrXs	sp|O64219|TAP25_BPMD2 Tail assembly protein Gp25
VOG00089	70	56	Xu	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59
VOG00090	100	90	XhXp	sp|P07693|ADOM_BPT3 S-adenosyl-L-methionine hydrolase
VOG00091	24	10	Xu	sp|Q9YML3|BROJ_NPVLD Uncharacterized Bro-N domain-containing protein J
VOG00092	38	34	Xu	REFSEQ hypothetical protein
VOG00093	75	70	Xu	REFSEQ hypothetical protein
VOG00094	21	20	Xu	REFSEQ hypothetical protein
VOG00095	41	41	XhXr	sp|P03692|PRIM_BPT7 DNA primase/helicase
VOG00096	449	446	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41
VOG00097	67	67	Xh	sp|P07719|V17_BPT3 Gene 1.7 protein
VOG00098	26	8	Xu	REFSEQ hypothetical protein
VOG00099	21	21	Xu	REFSEQ minor tail protein
VOG00100	14	14	XpXrXs	sp|Q6XQB2|PORTL_BPT1 Portal protein
VOG00101	787	785	Xs	sp|O64210|CAPSD_BPMD2 Probable major capsid protein gp17
VOG00102	132	114	Xu	REFSEQ ParB-like nuclease domain protein
VOG00103	942	894	XhXr	sp|P00452|RIR1_ECOLI Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG00104	83	77	Xu	REFSEQ hypothetical protein
VOG00105	125	125	Xh	sp|A4XFR8|QUEC_CALS8 7-cyano-7-deazaguanine synthase
VOG00106	230	78	Xu	REFSEQ hypothetical protein
VOG00107	748	747	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG00108	124	61	Xu	REFSEQ hypothetical protein
VOG00109	37	37	Xu	REFSEQ hypothetical protein
VOG00110	317	314	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00111	166	164	Xh	sp|Q74HC3|DGK1_LACJO Deoxyadenosine kinase
VOG00112	42	42	Xu	REFSEQ hypothetical protein
VOG00113	128	126	Xu	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP
VOG00114	40	40	Xu	REFSEQ hypothetical protein
VOG00115	21	21	Xh	sp|P21542|CARE_STRTH 4''-mycarosyl isovaleryl-CoA transferase
VOG00116	58	55	Xu	sp|P14108|Y7K8_BPP22 Uncharacterized 7.8 kDa protein in ral-gp17 intergenic region
VOG00117	125	125	Xu	REFSEQ hypothetical protein
VOG00118	73	73	XhXp	sp|O48470|HOL24_BPSPP Holin-like protein 24.1
VOG00119	26	26	Xu	REFSEQ hypothetical protein
VOG00120	214	214	XpXrXs	sp|P03724|GP14_BPT7 Internal virion protein gp14
VOG00121	136	136	Xu	REFSEQ hypothetical protein
VOG00122	30	10	Xu	REFSEQ hypothetical protein
VOG00123	22	3	Xu	sp|Q5UQL2|YL414_MIMIV Putative F-box and FNIP repeat-containing protein L414
VOG00124	18	17	Xu	REFSEQ hypothetical protein
VOG00125	38	35	Xh	sp|P07072|TEV2_BPT4 Intron-associated endonuclease 2
VOG00126	72	72	Xu	REFSEQ hypothetical protein
VOG00127	553	548	Xp	sp|P04521|EXO1_BPT4 Exonuclease subunit 1
VOG00128	111	84	Xu	REFSEQ hypothetical protein
VOG00129	33	27	Xu	REFSEQ hypothetical protein
VOG00130	81	81	Xu	sp|P18057|Y02D_BPT4 Uncharacterized 14.1 kDa protein in imm-Gp43 intergenic region
VOG00131	14	14	Xu	REFSEQ hypothetical protein
VOG00132	361	340	Xu	sp|P59935|53DR_BPKV4 Putative 5'(3')-deoxyribonucleotidase
VOG00133	77	77	XhXs	sp|P16712|A18_VACCW Transcript termination protein A18
VOG00134	603	592	Xu	sp|P04536|EXOD_BPT4 Exodeoxyribonuclease
VOG00135	51	48	Xu	REFSEQ immunity repressor
VOG00136	777	767	XpXrXs	sp|D3WAC3|PORTL_BPLP2 Probable portal protein
VOG00137	27	26	Xu	REFSEQ hypothetical protein
VOG00138	140	139	Xu	REFSEQ hypothetical protein
VOG00139	173	173	Xu	REFSEQ hypothetical protein
VOG00140	146	146	Xu	REFSEQ hypothetical protein
VOG00141	212	212	XhXs	sp|Q6QGD9|HCP_BPT5 Head completion protein
VOG00142	104	70	Xu	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region
VOG00143	75	68	Xu	REFSEQ hypothetical protein
VOG00144	147	126	Xu	REFSEQ hypothetical protein
VOG00145	68	68	Xu	REFSEQ hypothetical protein
VOG00146	335	335	Xr	sp|P20313|VHED_BPT3 Helix-destabilizing protein
VOG00147	276	252	XhXpXr	sp|P12427|DMA_BPT2 DNA adenine methylase
VOG00148	54	53	Xu	REFSEQ hypothetical protein
VOG00149	45	41	Xu	REFSEQ hypothetical protein
VOG00150	89	49	Xh	sp|Q8QL34|Y335_SIRV1 Uncharacterized glycosyltransferase 335
VOG00151	77	45	Xh	sp|Q9EQC1|3BHS7_MOUSE 3 beta-hydroxysteroid dehydrogenase type 7
VOG00152	86	86	Xu	REFSEQ hypothetical protein
VOG00153	50	47	Xu	REFSEQ hypothetical protein
VOG00154	85	37	Xu	REFSEQ hypothetical protein
VOG00155	15	14	Xu	REFSEQ hypothetical protein
VOG00156	30	13	Xu	REFSEQ hypothetical protein
VOG00157	17	3	Xu	REFSEQ hypothetical protein
VOG00158	152	117	Xu	REFSEQ hypothetical protein
VOG00159	124	122	Xu	sp|Q05292|VG77_BPML5 Gene 77 protein
VOG00160	168	160	Xu	sp|Q03182|RINA_BPPHA Transcriptional activator rinA
VOG00161	193	193	XhXp	sp|P03040|RCRO_LAMBD Regulatory protein cro
VOG00162	496	496	Xu	sp|O64262|VG69_BPMD2 Gene 69 protein
VOG00163	13	13	Xu	REFSEQ tail fiber protein
VOG00164	253	251	Xu	sp|P04533|VG57B_BPT4 Gene 57B protein
VOG00165	16	16	Xu	REFSEQ hypothetical protein
VOG00166	201	176	Xu	sp|Q05277|VG64_BPML5 Gene 64 protein
VOG00167	660	541	Xr	sp|P00471|TYSY_BPT4 Thymidylate synthase
VOG00168	48	48	Xu	sp|Q8QHM9|Y56_SIRV1 Uncharacterized protein 56
VOG00169	324	323	Xr	sp|Q9MCN8|RUSA_BPHK7 Crossover junction endodeoxyribonuclease rusA
VOG00170	95	85	Xu	REFSEQ hypothetical protein
VOG00171	26	25	Xu	REFSEQ hypothetical protein
VOG00172	243	243	XhXp	sp|P39504|SPAN1_BPT4 Spanin, inner membrane subunit
VOG00173	12	12	Xu	sp|Q05265|VG55_BPML5 Gene 55 protein
VOG00174	39	31	Xu	REFSEQ hypothetical protein
VOG00175	224	188	Xu	sp|O34401|YOPX_BACSU SPbeta prophage-derived uncharacterized protein YopX
VOG00176	14	13	Xu	REFSEQ hypothetical protein
VOG00177	410	410	Xu	sp|Q05225|VG19_BPML5 Gene 19 protein
VOG00178	15	14	Xu	REFSEQ neck passage structure
VOG00179	23	23	Xu	REFSEQ hypothetical protein
VOG00180	33	33	Xu	REFSEQ hypothetical protein
VOG00181	25	19	Xu	REFSEQ hypothetical protein
VOG00182	74	72	Xu	REFSEQ hypothetical protein
VOG00183	12	12	Xu	REFSEQ hypothetical protein
VOG00184	123	122	Xu	sp|P13318|Y06K_BPT4 Uncharacterized 25.0 kDa protein in regB-denV intergenic region
VOG00185	30	30	Xu	REFSEQ hypothetical protein
VOG00186	52	31	Xu	REFSEQ hypothetical protein
VOG00187	41	18	Xu	REFSEQ putative virion structural protein
VOG00188	150	150	Xu	REFSEQ hypothetical protein
VOG00189	48	45	Xu	sp|Q01438|COMCA_BPT4 Protein comC-alpha
VOG00190	359	359	Xs	sp|P20324|SCAF_BPT3 Capsid assembly scaffolding protein
VOG00191	38	32	Xh	sp|Q7ZV60|BCS1_DANRE Mitochondrial chaperone BCS1
VOG00192	100	100	Xu	REFSEQ hypothetical protein
VOG00193	86	86	Xu	REFSEQ holin
VOG00194	22	18	Xu	REFSEQ hypothetical protein
VOG00195	20	18	Xu	REFSEQ hypothetical protein
VOG00196	86	86	Xu	REFSEQ hypothetical protein
VOG00197	156	145	Xu	REFSEQ hypothetical protein
VOG00198	346	345	Xr	sp|P03693|TERS_BPT7 Terminase, small subunit gp18
VOG00199	39	39	Xu	REFSEQ hypothetical protein
VOG00200	98	94	Xu	REFSEQ hypothetical protein
VOG00201	89	81	Xu	REFSEQ tail protein
VOG00202	62	62	Xu	REFSEQ hypothetical protein
VOG00203	17	17	Xu	REFSEQ hypothetical protein
VOG00204	49	43	Xu	REFSEQ hypothetical protein
VOG00205	31	9	Xh	sp|P22611|VMT8_MYXVL Kelch repeat protein M-T8
VOG00206	12	11	Xu	REFSEQ hypothetical protein
VOG00207	19	18	Xu	sp|P44193|Y1422_HAEIN Uncharacterized protein HI_1422
VOG00208	16	3	Xu	sp|Q5UQ39|YL796_MIMIV Uncharacterized protein L796
VOG00209	16	3	Xu	REFSEQ hypothetical protein
VOG00210	18	2	Xu	REFSEQ hypothetical protein
VOG00211	92	89	Xu	REFSEQ hypothetical protein
VOG00212	225	225	Xu	sp|P15032|RECE_ECOLI Exodeoxyribonuclease 8
VOG00213	99	84	Xu	REFSEQ hypothetical protein
VOG00214	14	13	Xh	sp|Q38419|TEV3_BPR03 Intron-associated endonuclease 3
VOG00215	29	27	Xu	REFSEQ tail protein
VOG00216	386	386	Xu	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44
VOG00217	13	12	Xu	sp|P39505|Y13L_BPT4 Uncharacterized 9.4 kDa protein in nrdB-nrdA intergenic region
VOG00218	168	165	Xu	sp|P41039|YBII_ECOLI Uncharacterized protein YbiI
VOG00219	27	26	Xu	REFSEQ hypothetical protein
VOG00220	1080	893	Xh	sp|P00276|GLRX_BPT4 Glutaredoxin
VOG00221	87	86	Xu	REFSEQ hypothetical protein
VOG00222	144	142	Xu	REFSEQ hypothetical protein
VOG00223	322	313	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG00224	138	86	Xu	sp|P03756|EA22_LAMBD Protein ea22
VOG00225	13	11	Xu	REFSEQ putative homing endonuclease
VOG00226	13	13	Xh	sp|Q6QGL2|TFLIV_BPT5 H-N-H endonuclease F-TflIV
VOG00227	13	13	XpXs	sp|Q9G0B5|FIB37_BPAR1 Long tail fiber protein p37
VOG00228	371	368	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG00229	211	211	XhXp	sp|Q6XQ99|HOLIN_BPT1 Holin
VOG00230	16	14	Xu	sp|P19655|ANT_BPP1 Antirepressor protein 1
VOG00231	59	59	Xu	REFSEQ DUF771 domain-containing protein
VOG00232	97	86	Xu	REFSEQ hypothetical protein
VOG00233	13	13	Xu	REFSEQ hypothetical protein
VOG00234	13	10	Xu	REFSEQ hypothetical protein
VOG00235	205	188	Xh	sp|P07075|NRDG_BPT4 Anaerobic ribonucleoside-triphosphate reductase-activating protein
VOG00236	28	28	Xu	REFSEQ hypothetical protein
VOG00237	21	21	Xu	REFSEQ phage tail length tape-measure protein
VOG00238	72	71	Xu	sp|P10426|YIM2_BPPH1 Uncharacterized immunity region protein 2
VOG00239	126	126	Xu	REFSEQ holin
VOG00240	13	13	XhXr	sp|P17312|TERL_BPT4 Terminase, large subunit
VOG00241	19	19	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00242	36	36	Xr	sp|D3WAC1|TERL_BPLP2 Terminase large subunit
VOG00243	17	17	Xu	REFSEQ hypothetical protein
VOG00244	111	111	Xu	REFSEQ hypothetical protein
VOG00245	62	58	Xu	REFSEQ hypothetical protein
VOG00246	73	73	Xu	REFSEQ hypothetical protein
VOG00247	47	47	Xu	REFSEQ hypothetical protein
VOG00248	45	45	Xu	REFSEQ hypothetical protein
VOG00249	120	120	Xu	REFSEQ hypothetical protein
VOG00250	94	93	Xu	REFSEQ hypothetical protein
VOG00251	59	59	Xu	sp|O64225|VG31_BPMD2 Gene 31 protein
VOG00252	13	13	Xu	REFSEQ hypothetical protein
VOG00253	11	10	Xu	REFSEQ hypothetical protein
VOG00254	52	47	XhXr	sp|Q9CBQ2|RIR2_MYCLE Ribonucleoside-diphosphate reductase subunit beta
VOG00255	40	40	Xu	REFSEQ hypothetical protein
VOG00256	132	132	XpXrXs	sp|Q38584|HCP15_BPSPP Head completion protein gp15
VOG00257	18	18	Xs	sp|P85503|STRU3_BPPAJ Structural protein 3
VOG00258	416	389	Xu	sp|P13309|Y06D_BPT4 Uncharacterized 17.5 kDa protein in tk-vs intergenic region
VOG00259	60	54	Xu	sp|Q9J5H2|V029_FOWPN Putative peptidyl-tRNA hydrolase
VOG00260	16	16	Xu	REFSEQ hypothetical protein
VOG00261	407	406	Xu	sp|O64216|VG22_BPMD2 Gene 22 protein
VOG00262	136	136	Xu	REFSEQ hypothetical protein
VOG00263	40	36	Xu	REFSEQ hypothetical protein
VOG00264	22	13	XhXp	sp|P0C775|P28_VACC8 E3 ubiquitin-protein ligase p28-like
VOG00265	36	9	Xu	sp|P21100|VC16_VACCC Protein C16/B22
VOG00266	15	14	Xu	REFSEQ hypothetical protein
VOG00267	18	3	Xu	sp|Q5UNY6|YR738_MIMIV Putative BTB/POZ domain-containing protein R738
VOG00268	19	19	Xu	sp|P03798|Y53_BPT7 Protein 5.3
VOG00269	17	7	Xu	REFSEQ hypothetical protein
VOG00270	17	12	Xu	REFSEQ hypothetical protein
VOG00271	19	6	Xu	sp|Q8QL18|Y95_SIRV1 Uncharacterized protein 95
VOG00272	489	488	XhXr	sp|O48500|DUT_BPT5 Deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG00273	510	249	Xh	sp|P07065|TOP5_BPT4 DNA topoisomerase medium subunit
VOG00274	21	21	Xu	REFSEQ hypothetical protein
VOG00275	13	13	XhXr	sp|P37469|DNAC_BACSU Replicative DNA helicase
VOG00276	56	56	Xu	REFSEQ hypothetical protein
VOG00277	13	13	Xh	sp|P03781|NUCK_BPT7 Nucleotide kinase gp1.7
VOG00278	22	22	Xu	sp|Q70LD4|Y223_AFV1Y Uncharacterized protein ORF223
VOG00279	28	28	Xu	REFSEQ hypothetical protein
VOG00280	14	14	Xu	REFSEQ DNA primase
VOG00281	156	149	Xu	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region
VOG00282	183	179	XhXpXrXs	sp|O64332|TIPL_BPN15 Tail tip protein L
VOG00283	20	12	Xu	REFSEQ hypothetical protein
VOG00284	83	68	Xu	REFSEQ hypothetical protein
VOG00285	27	26	XhXr	sp|B0FIL5|DPOL_BPE32 DNA-directed DNA polymerase
VOG00286	32	27	Xu	REFSEQ major tail protein
VOG00287	15	15	Xu	sp|O34449|YOQD_BACSU SPbeta prophage-derived putative antirepressor protein YoqD
VOG00288	136	136	Xu	REFSEQ hypothetical protein
VOG00289	22	22	Xu	REFSEQ terminase small subunit
VOG00290	82	82	Xu	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290
VOG00291	12	12	Xu	REFSEQ tail fiber protein
VOG00292	646	546	XhXr	sp|O64301|DPA44_BPR69 DNA polymerase accessory protein 44
VOG00293	223	222	Xu	REFSEQ hypothetical protein
VOG00294	52	52	Xu	REFSEQ hypothetical protein
VOG00295	25	25	Xr	sp|P39786|XTMB_BACSU PBSX phage terminase large subunit
VOG00296	187	164	Xh	sp|Q55928|NADM_SYNY3 Bifunctional NMN adenylyltransferase/Nudix hydrolase
VOG00297	69	69	Xu	REFSEQ hypothetical protein
VOG00298	392	392	Xh	sp|O48499|D14_BPT5 Protein D14
VOG00299	157	157	XhXs	sp|P51772|BPX_BPP2 Baseplate protein X
VOG00300	9	9	Xu	REFSEQ structural protein
VOG00301	470	467	Xu	sp|O64253|VG61_BPMD2 Gene 61 protein
VOG00302	68	66	Xu	REFSEQ hypothetical protein
VOG00303	38	38	Xu	REFSEQ hypothetical protein
VOG00304	22	22	Xu	REFSEQ hypothetical protein
VOG00305	10	10	Xu	REFSEQ tail fiber protein
VOG00306	8	8	Xu	REFSEQ tail fiber
VOG00307	20	20	Xu	sp|O32263|YVDC_BACSU Uncharacterized protein YvdC
VOG00308	62	58	Xu	REFSEQ hypothetical protein
VOG00309	16	16	Xu	REFSEQ hypothetical protein
VOG00310	17	17	Xu	sp|O64226|VG32_BPMD2 Gene 32 protein
VOG00311	33	33	Xu	REFSEQ hypothetical protein
VOG00312	169	168	Xu	REFSEQ hypothetical protein
VOG00313	94	86	Xh	sp|P07068|PIN_BPT4 Host protease inhibitor
VOG00314	11	11	XhXpXs	sp|Q9T1V0|S1_BPMU Tail fiber protein S
VOG00315	211	202	Xu	sp|P39492|Y10C_BPT4 Uncharacterized 6.6 kDa protein in Gp24-hoc intergenic region
VOG00316	16	16	Xu	REFSEQ hypothetical protein
VOG00317	131	131	Xu	REFSEQ tail lysin
VOG00318	161	161	Xu	sp|P36934|VPS_BPP2 Tail completion protein S
VOG00319	106	106	Xu	REFSEQ hypothetical protein
VOG00320	18	16	Xu	REFSEQ hypothetical protein
VOG00321	13	13	Xu	REFSEQ hypothetical protein
VOG00322	19	18	Xu	REFSEQ hypothetical protein
VOG00323	146	145	Xh	sp|P20833|V11_BPT3 Gene 1.1 protein
VOG00324	18	18	Xu	REFSEQ hypothetical protein
VOG00325	120	120	Xu	sp|P39416|Y00F_BPT4 Uncharacterized 19.7 kDa protein in motB-dexA intergenic region
VOG00326	24	24	Xu	REFSEQ hypothetical protein
VOG00327	13	12	Xu	sp|P13329|MOBB_BPT4 Probable mobile endonuclease B
VOG00328	18	8	Xu	REFSEQ hypothetical protein
VOG00329	13	13	Xu	REFSEQ tapemeasure
VOG00330	83	76	Xu	REFSEQ hypothetical protein
VOG00331	19	19	XhXp	sp|P00806|ENLYS_BPT7 Endolysin
VOG00332	22	20	Xu	REFSEQ hypothetical protein
VOG00333	180	179	Xu	sp|P17308|Y13B_BPT4 Uncharacterized 11.5 kDa protein in Gp31-cd intergenic region
VOG00334	17	17	Xu	REFSEQ PH domain-containing protein
VOG00335	33	33	Xu	REFSEQ putative tail protein
VOG00336	115	83	Xu	REFSEQ hypothetical protein
VOG00337	83	83	Xu	REFSEQ hypothetical protein
VOG00338	31	31	Xu	REFSEQ hypothetical protein
VOG00339	13	12	Xu	REFSEQ DUF1642 domain-containing protein
VOG00340	20	20	Xu	REFSEQ hypothetical protein
VOG00341	110	110	XhXs	sp|P10312|BPD_BPP2 Probable baseplate hub protein
VOG00342	374	311	XhXp	sp|P34877|MTSA_LACLC Modification methylase ScrFIA
VOG00343	66	66	Xu	REFSEQ hypothetical protein
VOG00344	169	117	Xu	REFSEQ hypothetical protein
VOG00345	20	11	Xu	REFSEQ tail assembly chaperone
VOG00346	463	445	XhXr	sp|P00573|RPOL_BPT7 T7 RNA polymerase
VOG00347	43	43	XhXs	sp|O64321|DECO7_BPN15 Putative decoration protein
VOG00348	153	83	Xu	REFSEQ high light inducible protein
VOG00349	31	31	Xu	REFSEQ hypothetical protein
VOG00350	174	174	XhXp	sp|P39503|SPAN2_BPT4 Spanin, outer lipoprotein subunit
VOG00351	199	172	XhXp	sp|P00513|PK_BPT7 Protein kinase 0.7
VOG00352	34	34	Xu	REFSEQ hypothetical protein
VOG00353	39	39	Xu	REFSEQ membrane protein
VOG00354	546	545	Xs	sp|Q05229|VG23_BPML5 Major tail protein Gp23
VOG00355	85	85	Xu	REFSEQ hypothetical protein
VOG00356	10	9	Xu	REFSEQ hypothetical protein
VOG00357	30	30	Xu	REFSEQ hypothetical protein
VOG00358	13	13	Xu	REFSEQ phage tail fiber protein
VOG00359	63	63	Xu	REFSEQ primase/helicase
VOG00360	15	3	Xh	sp|Q5UQQ5|YR858_MIMIV Putative ankyrin repeat protein R858
VOG00361	32	29	Xu	REFSEQ structural protein
VOG00362	9	9	Xu	REFSEQ hypothetical protein
VOG00363	9	4	Xu	REFSEQ hypothetical protein
VOG00364	36	22	Xu	REFSEQ hypothetical protein
VOG00365	8	4	Xu	REFSEQ hypothetical protein
VOG00366	19	19	Xu	REFSEQ hypothetical protein
VOG00367	62	51	Xu	REFSEQ hypothetical protein
VOG00368	30	30	Xu	REFSEQ hypothetical protein
VOG00369	56	56	Xu	REFSEQ hypothetical protein
VOG00370	38	38	Xu	REFSEQ hypothetical protein
VOG00371	12	12	Xu	REFSEQ tape measure protein
VOG00372	71	53	Xu	REFSEQ hypothetical protein
VOG00373	11	11	Xu	REFSEQ hypothetical protein
VOG00374	47	47	Xu	REFSEQ hypothetical protein
VOG00375	38	38	Xu	REFSEQ hypothetical protein
VOG00376	24	15	Xu	REFSEQ hypothetical protein
VOG00377	55	49	Xu	REFSEQ hypothetical protein
VOG00378	12	12	Xu	REFSEQ hypothetical protein
VOG00379	48	45	Xu	sp|Q925X3|Y124_LISIN Uncharacterized protein Lin0124/Lin2378/Lin2564
VOG00380	9	8	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00381	75	75	Xu	REFSEQ hypothetical protein
VOG00382	34	32	Xu	REFSEQ hypothetical protein
